Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_3_147,VGND,li1,73.3700,21.7600,0.000037
FILLER_3_141,VGND,li1,71.7600,21.7600,0.000037
FILLER_3_122,VGND,li1,62.3300,21.7600,0.000037
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000036
FILLER_3_99,VGND,li1,53.8200,21.7600,0.000036
FILLER_3_57,VGND,li1,31.9700,21.7600,0.000029
FILLER_3_11,VGND,li1,10.8100,21.7600,0.000037
FILLER_3_3,VGND,li1,7.1300,21.7600,0.000037
FILLER_2_141,VGND,li1,71.3000,16.3200,0.000054
FILLER_2_130,VGND,li1,65.5500,16.3200,0.000053
FILLER_2_97,VGND,li1,50.3700,16.3200,0.000048
FILLER_2_89,VGND,li1,48.3000,16.3200,0.000047
FILLER_2_85,VGND,li1,44.8500,16.3200,0.000044
FILLER_2_71,VGND,li1,38.4100,16.3200,0.000041
FILLER_2_50,VGND,li1,28.7500,16.3200,0.000035
FILLER_2_7,VGND,li1,8.9700,16.3200,0.000030
FILLER_2_3,VGND,li1,7.8200,16.3200,0.000030
FILLER_1_147,VGND,li1,73.3700,16.3200,0.000054
FILLER_1_141,VGND,li1,71.7600,16.3200,0.000054
FILLER_1_122,VGND,li1,62.3300,16.3200,0.000053
FILLER_1_97,VGND,li1,51.5200,16.3200,0.000048
FILLER_1_85,VGND,li1,47.3800,16.3200,0.000045
FILLER_1_73,VGND,li1,41.8600,16.3200,0.000042
FILLER_1_61,VGND,li1,36.3400,16.3200,0.000040
FILLER_1_35,VGND,li1,21.8500,16.3200,0.000028
FILLER_1_31,VGND,li1,20.7000,16.3200,0.000028
FILLER_1_7,VGND,li1,8.9700,16.3200,0.000030
FILLER_1_3,VGND,li1,7.8200,16.3200,0.000030
FILLER_0_147,VGND,li1,73.3700,10.8800,0.000007
FILLER_0_141,VGND,li1,71.7600,10.8800,0.000007
FILLER_0_130,VGND,li1,65.5500,10.8800,0.000007
FILLER_0_118,VGND,li1,62.5600,10.8800,0.000006
FILLER_0_113,VGND,li1,57.9600,10.8800,0.000006
FILLER_0_111,VGND,li1,56.8100,10.8800,0.000006
FILLER_0_105,VGND,li1,54.5100,10.8800,0.000005
FILLER_0_97,VGND,li1,51.9800,10.8800,0.000005
FILLER_0_85,VGND,li1,47.3800,10.8800,0.000004
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000004
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000003
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000003
FILLER_0_54,VGND,li1,30.8200,10.8800,0.000002
FILLER_0_43,VGND,li1,27.1400,10.8800,0.000002
FILLER_0_37,VGND,li1,23.2300,10.8800,0.000002
FILLER_0_29,VGND,li1,20.7000,10.8800,0.000002
FILLER_0_24,VGND,li1,17.4800,10.8800,0.000002
FILLER_0_15,VGND,li1,13.1100,10.8800,0.000002
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000002
hold4,VGND,li1,23.9200,21.7600,0.000025
hold3,VGND,li1,29.4400,21.7600,0.000028
hold2,VGND,li1,12.8800,21.7600,0.000037
hold1,VGND,li1,20.2400,27.2000,0.000028
clkload0,VGND,li1,28.9800,27.2000,0.000024
clkbuf_1_1__f_clk,VGND,li1,26.6800,16.3200,0.000034
clkbuf_1_0__f_clk,VGND,li1,11.5000,27.2000,0.000038
clkbuf_0_clk,VGND,li1,19.3200,21.7600,0.000035
fanout40,VGND,li1,12.8800,38.0800,0.000014
fanout39,VGND,li1,37.2600,43.5200,0.000019
fanout38,VGND,li1,32.6600,16.3200,0.000037
fanout37,VGND,li1,49.6800,65.2800,0.000029
fanout36,VGND,li1,34.0400,54.4000,0.000010
fanout35,VGND,li1,32.6600,27.2000,0.000027
fanout34,VGND,li1,41.4000,21.7600,0.000032
fanout33,VGND,li1,49.2200,59.8400,0.000009
fanout32,VGND,li1,36.3400,43.5200,0.000019
max_cap31,VGND,li1,43.0100,59.8400,0.000008
max_cap30,VGND,li1,43.4700,43.5200,0.000022
fanout29,VGND,li1,19.3200,48.9600,0.000011
fanout28,VGND,li1,33.1200,38.0800,0.000014
output27,VGND,li1,7.8200,38.0800,0.000015
output26,VGND,li1,7.8200,70.7200,0.000012
output25,VGND,li1,30.3600,76.1600,0.000005
output24,VGND,li1,23.9200,76.1600,0.000003
output23,VGND,li1,7.8200,65.2800,0.000011
output22,VGND,li1,33.5800,76.1600,0.000006
output21,VGND,li1,27.1400,76.1600,0.000004
output20,VGND,li1,7.8200,54.4000,0.000005
output19,VGND,li1,7.8200,48.9600,0.000011
input18,VGND,li1,72.9100,43.5200,0.000028
input17,VGND,li1,7.5900,43.5200,0.000013
input16,VGND,li1,7.5900,38.0800,0.000015
input15,VGND,li1,72.9100,43.5200,0.000028
input14,VGND,li1,72.9100,32.6400,0.000015
input13,VGND,li1,59.1100,10.8800,0.000006
input12,VGND,li1,72.9100,16.3200,0.000054
input11,VGND,li1,72.9100,54.4000,0.000018
input10,VGND,li1,72.9100,59.8400,0.000013
input9,VGND,li1,72.9100,54.4000,0.000018
input8,VGND,li1,59.1100,76.1600,0.000014
input7,VGND,li1,72.9100,38.0800,0.000021
input6,VGND,li1,72.9100,27.2000,0.000043
input5,VGND,li1,55.8900,10.8800,0.000005
input4,VGND,li1,72.9100,21.7600,0.000037
input3,VGND,li1,72.9100,70.7200,0.000043
input2,VGND,li1,55.8900,76.1600,0.000013
input1,VGND,li1,72.9100,70.7200,0.000043
TAP_TAPCELL_ROW_24_116,VGND,li1,70.1500,76.4510,0.000016
TAP_TAPCELL_ROW_24_115,VGND,li1,57.2700,76.4510,0.000014
TAP_TAPCELL_ROW_24_114,VGND,li1,44.3900,76.4510,0.000009
TAP_TAPCELL_ROW_24_113,VGND,li1,31.5100,76.4510,0.000005
TAP_TAPCELL_ROW_24_112,VGND,li1,18.6300,76.4510,0.000003
TAP_TAPCELL_ROW_23_111,VGND,li1,57.2700,75.8680,0.000014
TAP_TAPCELL_ROW_23_110,VGND,li1,31.5100,75.8680,0.000005
TAP_TAPCELL_ROW_22_109,VGND,li1,70.1500,71.0110,0.000043
TAP_TAPCELL_ROW_22_108,VGND,li1,44.3900,71.0110,0.000034
TAP_TAPCELL_ROW_22_107,VGND,li1,18.6300,71.0110,0.000012
TAP_TAPCELL_ROW_21_106,VGND,li1,57.2700,70.4280,0.000041
TAP_TAPCELL_ROW_21_105,VGND,li1,31.5100,70.4280,0.000019
TAP_TAPCELL_ROW_20_104,VGND,li1,70.1500,65.5710,0.000031
TAP_TAPCELL_ROW_20_103,VGND,li1,44.3900,65.5710,0.000028
TAP_TAPCELL_ROW_20_102,VGND,li1,18.6300,65.5710,0.000011
TAP_TAPCELL_ROW_19_101,VGND,li1,57.2700,64.9880,0.000030
TAP_TAPCELL_ROW_19_100,VGND,li1,31.5100,64.9880,0.000016
TAP_TAPCELL_ROW_18_99,VGND,li1,70.1500,60.1310,0.000013
TAP_TAPCELL_ROW_18_98,VGND,li1,44.3900,60.1310,0.000008
TAP_TAPCELL_ROW_18_97,VGND,li1,18.6300,60.1310,0.000006
TAP_TAPCELL_ROW_17_96,VGND,li1,57.2700,59.5480,0.000011
TAP_TAPCELL_ROW_17_95,VGND,li1,31.5100,59.5480,0.000006
TAP_TAPCELL_ROW_16_94,VGND,li1,70.1500,54.6910,0.000018
